PaymentID,OrderID,Amount,Fee,GST,SettlementAmount,Date,Status
PAY1024,ORD1024,2121.62,42.43,7.64,2071.55,2026-08-21 01:17:00,captured
PAY1025,ORD1025,12731.17,254.62,45.83,12430.72,2026-08-20 22:41:00,captured
PAY1026,ORD1026,3920.94,78.42,14.12,3828.4,2026-08-20 21:16:00,captured
PAY1027,ORD1027,10996.63,219.93,39.59,10737.11,2026-08-21 06:37:00,captured
PAY1028,ORD1028,24934.48,498.69,89.76,24346.03,2026-08-21 00:14:00,captured
PAY1029,ORD1029,2727.28,54.55,9.82,2662.91,2026-08-21 03:31:00,captured
PAY1030,ORD1030,15872.43,317.45,57.14,15497.84,2026-08-20 20:09:00,captured
PAY1031,ORD1031,9926.8,198.54,35.74,9692.52,2026-08-21 04:04:00,captured
PAY1032,ORD1032,24291.42,485.83,87.45,23718.14,2026-08-21 03:16:00,captured
PAY1033,ORD1033,3306.52,66.13,11.9,3228.49,2026-08-21 05:46:00,captured
PAY1034,ORD1034,3233.03,64.66,11.64,3156.73,2026-08-22 05:21:00,captured
PAY1035,ORD1035,579.51,11.59,2.09,565.83,2026-08-21 21:29:00,captured
PAY1036,ORD1036,4876.97,97.54,17.56,4761.87,2026-08-22 03:48:00,captured
PAY1037,ORD1037,21120.9,422.42,76.04,20622.44,2026-08-22 05:19:00,captured
PAY1038,ORD1038,19181.51,383.63,69.05,18728.83,2026-08-21 21:23:00,captured
PAY1039,ORD1039,12470.84,249.42,44.9,12176.52,2026-08-22 04:20:00,captured
PAY1040,ORD1040,24640.37,492.81,88.71,24058.85,2026-08-22 00:56:00,captured
PAY1041,ORD1041,6401.35,128.03,23.05,6250.27,2026-08-21 22:03:00,captured
PAY1042,ORD1042,12406.77,248.14,44.67,12113.96,2026-08-21 20:46:00,captured
PAY1043,ORD1043,3581.13,71.62,12.89,3496.62,2026-08-22 03:49:00,captured
PAY1044,ORD1044,6993.89,139.88,25.18,6828.83,2026-08-22 03:10:00,captured
PAY1045,ORD1045,13712.75,274.25,49.36,13389.14,2026-08-21 22:59:00,captured
PAY1046,ORD1046,10275.31,205.51,36.99,10032.81,2026-08-22 06:19:00,captured
PAY1047,ORD1047,13180.61,263.61,47.45,12869.55,2026-08-22 02:57:00,captured
PAY1048,ORD1048,2068.63,41.37,7.45,2019.81,2026-08-21 22:14:00,captured
PAY1049,ORD1049,6137.81,122.76,22.1,5992.95,2026-08-22 04:35:00,captured
PAY1050,ORD1050,17842.1,356.84,64.23,17421.03,2026-08-21 19:04:00,captured
PAY1051,ORD1051,22682.79,453.66,81.66,22147.47,2026-08-21 22:04:00,captured
PAY1052,ORD1052,6331.11,126.62,22.79,6181.7,2026-08-21 20:32:00,captured
PAY1053,ORD1053,3741.64,74.83,13.47,3653.34,2026-08-21 22:34:00,captured
PAY1054,ORD1054,12087.84,241.76,43.52,11802.56,2026-08-21 22:50:00,captured
PAY1055,ORD1055,2874.8,57.5,10.35,2806.95,2026-08-21 22:06:00,captured
PAY1056,ORD1056,10572.01,211.44,38.06,10322.51,2026-08-22 00:27:00,captured
PAY1057,ORD1057,24612.05,492.24,88.6,24031.21,2026-08-22 05:41:00,captured
PAY1058,ORD1058,18341.23,366.82,66.03,17908.38,2026-08-21 19:25:00,captured
PAY1059,ORD1059,5160.12,103.2,18.58,5038.34,2026-08-21 22:12:00,captured
PAY1060,ORD1060,4995.46,99.91,17.98,4877.57,2026-08-21 21:27:00,captured
PAY1061,ORD1061,23120.01,462.4,83.23,22574.38,2026-08-21 22:55:00,captured
PAY1062,ORD1062,1739.41,34.79,6.26,1698.36,2026-08-22 03:06:00,captured
PAY1063,ORD1063,18962.35,379.25,68.27,18514.83,2026-08-21 20:59:00,captured
PAY1064,ORD1064,12398.21,247.96,44.63,12105.62,2026-08-21 21:26:00,captured
PAY1065,ORD1065,1936.57,38.73,6.97,1890.87,2026-08-22 01:57:00,captured
PAY1066,ORD1066,6997.47,139.95,25.19,6832.33,2026-08-21 19:24:00,captured
PAY1067,ORD1067,17566.49,351.33,63.24,17151.92,2026-08-22 23:27:00,captured
PAY1068,ORD1068,7769.34,155.39,27.97,7585.98,2026-08-22 21:12:00,captured
PAY1069,ORD1069,13783.78,275.68,49.62,13458.48,2026-08-23 04:47:00,captured
PAY1070,ORD1070,14812.35,296.25,53.32,14462.78,2026-08-22 19:03:00,captured
PAY1071,ORD1071,2462.73,49.25,8.87,2404.61,2026-08-22 19:32:00,captured
PAY1072,ORD1072,2165.04,43.3,7.79,2113.95,2026-08-22 20:38:00,captured
PAY1073,ORD1073,23569.11,471.38,84.85,23012.88,2026-08-23 01:07:00,captured
PAY1074,ORD1074,1473.67,29.47,5.3,1438.9,2026-08-23 04:38:00,captured
PAY1075,ORD1075,14799.97,296.0,53.28,14450.69,2026-08-23 01:42:00,captured
PAY1076,ORD1076,16908.29,338.17,60.87,16509.25,2026-08-22 23:13:00,captured
PAY1077,ORD1077,10196.75,203.94,36.71,9956.1,2026-08-22 22:16:00,captured
PAY1078,ORD1078,23260.95,465.22,83.74,22711.99,2026-08-23 02:20:00,captured
PAY1079,ORD1079,15718.4,314.37,56.59,15347.44,2026-08-22 19:29:00,captured
PAY1080,ORD1080,5722.28,114.45,20.6,5587.23,2026-08-22 20:34:00,captured
PAY1081,ORD1081,9050.72,181.01,32.58,8837.13,2026-08-22 21:59:00,captured
PAY1082,ORD1082,7482.19,149.64,26.94,7305.61,2026-08-22 22:23:00,captured
PAY1083,ORD1083,7911.67,158.23,28.48,7724.96,2026-08-23 03:45:00,captured
PAY1084,ORD1084,14087.76,281.76,50.72,13755.28,2026-08-23 05:52:00,captured
PAY1085,ORD1085,3328.0,66.56,11.98,3249.46,2026-08-22 21:16:00,captured
PAY1086,ORD1086,4308.47,86.17,15.51,4206.79,2026-08-23 06:35:00,captured
PAY1087,ORD1087,18081.5,361.63,65.09,17654.78,2026-08-23 04:13:00,captured
PAY1088,ORD1088,21396.36,427.93,77.03,20891.4,2026-08-23 05:40:00,captured
PAY1089,ORD1089,22749.9,455.0,81.9,22213.0,2026-08-22 23:57:00,captured
PAY1090,ORD1090,10877.61,217.55,39.16,10620.9,2026-08-22 20:40:00,captured
PAY1091,ORD1091,8672.14,173.44,31.22,8467.48,2026-08-22 19:00:00,captured
PAY1092,ORD1092,4458.76,89.18,16.05,4353.53,2026-08-23 05:16:00,captured
PAY1093,ORD1093,10978.33,219.57,39.52,10719.24,2026-08-23 03:45:00,captured
PAY1094,ORD1094,23653.75,473.07,85.15,23095.53,2026-08-22 20:04:00,captured
PAY1095,ORD1095,20947.58,418.95,75.41,20453.22,2026-08-23 03:02:00,captured
PAY1096,ORD1096,1524.81,30.5,5.49,1488.82,2026-08-23 01:08:00,captured
PAY1097,ORD1097,9266.33,185.33,33.36,9047.64,2026-08-22 19:57:00,captured
PAY1098,ORD1098,9165.13,183.3,32.99,8948.84,2026-08-23 05:06:00,captured
PAY1099,ORD1099,4286.56,85.73,15.43,4185.4,2026-08-23 04:47:00,captured
PAY1100,ORD1100,20363.91,407.28,73.31,19883.32,2026-08-23 21:51:00,captured
PAY1101,ORD1101,16716.28,334.33,60.18,16321.77,2026-08-23 19:13:00,captured
PAY1102,ORD1102,15689.09,313.78,56.48,15318.83,2026-08-24 01:53:00,captured
PAY1103,ORD1103,19890.7,397.81,71.61,19421.28,2026-08-23 22:19:00,captured
PAY1104,ORD1104,5671.11,113.42,20.42,5537.27,2026-08-23 19:56:00,captured
PAY1105,ORD1105,6301.2,126.02,22.68,6152.5,2026-08-24 00:21:00,captured
PAY1106,ORD1106,17422.71,348.45,62.72,17011.54,2026-08-24 01:23:00,refunded
PAY1107,ORD1107,9659.9,193.2,34.78,9431.92,2026-08-23 23:24:00,captured
PAY1108,ORD1108,9950.87,228.87,41.2,9680.8,2026-08-24 05:55:00,captured
PAY1109,ORD1109,4392.79,87.86,15.81,4289.12,2026-08-23 20:58:00,refunded
PAY1110,ORD1110,15721.14,314.42,56.6,15350.12,2026-08-23 23:05:00,captured
PAY1111,ORD1111,24645.31,566.84,102.03,23976.44,2026-08-24 00:29:00,captured
PAY1112,ORD1112,6776.77,155.87,28.06,6592.84,2026-08-24 01:59:00,captured
PAY1113,ORD1113,13958.17,279.16,50.25,13628.76,2026-08-24 06:30:00,captured
PAY1114,ORD1114,13529.64,270.59,48.71,13210.34,2026-08-24 05:48:00,captured
PAY1115,ORD1115,2469.45,49.39,8.89,2411.17,2026-08-23 22:25:00,captured
PAY1116,ORD1116,15416.26,308.33,55.5,15052.43,2026-08-24 04:22:00,captured
PAY1117,ORD1117,10635.33,212.71,38.29,10384.33,2026-08-24 06:59:00,refunded
PAY1118,ORD1118,8645.61,172.91,31.12,8441.58,2026-08-24 05:28:00,refunded
PAY1119,ORD1119,5580.9,111.62,20.09,5449.19,2026-08-23 23:37:00,captured
PAY1120,ORD1120,16347.69,326.95,58.85,15961.89,2026-08-24 01:45:00,captured
PAY1121,ORD1121,8715.43,174.31,31.38,8509.74,2026-08-24 04:38:00,refunded
PAY1122,ORD1122,4993.47,99.87,17.98,4875.62,2026-08-23 19:21:00,refunded
PAY1123,ORD1123,6478.24,129.56,23.32,6325.36,2026-08-24 04:40:00,captured
PAY1124,ORD1124,4632.92,92.66,16.68,4523.58,2026-08-24 02:30:00,captured
PAY1125,ORD1125,3884.75,77.7,13.99,3793.06,2026-08-24 02:52:00,captured
PAY1126,ORD1126,17436.71,523.1,94.16,16819.45,2026-08-23 20:20:00,captured
PAY1127,ORD1127,17127.2,342.54,61.66,16723.0,2026-08-23 20:54:00,captured
PAY1128,ORD1128,3062.92,61.26,11.03,2990.63,2026-08-23 22:12:00,captured
PAY1129,ORD1129,12474.57,249.49,44.91,12180.17,2026-08-24 04:57:00,captured
PAY1130,ORD1130,12838.02,256.76,46.22,12535.04,2026-08-24 04:14:00,captured
PAY1131,ORD1131,4537.76,90.76,16.34,4430.66,2026-08-24 02:27:00,captured
PAY1132,ORD1132,5595.66,111.91,20.14,5463.61,2026-08-23 20:51:00,captured
PAY1133,ORD1133,8106.96,186.46,33.56,7886.94,2026-08-24 02:05:00,captured
PAY1134,ORD1134,15019.13,300.38,54.07,14664.68,2026-08-25 02:10:00,captured
PAY1135,ORD1135,13865.7,277.31,49.92,13538.47,2026-08-25 04:22:00,captured
PAY1136,ORD1136,12533.06,300.79,54.14,12178.13,2026-08-25 01:55:00,captured
PAY1137,ORD1137,10451.46,209.03,37.63,10204.8,2026-08-25 06:57:00,captured
PAY1138,ORD1138,13403.43,321.68,57.9,13023.85,2026-08-25 05:19:00,captured
PAY1139,ORD1139,18411.53,368.23,66.28,17977.02,2026-08-24 23:31:00,captured
PAY1140,ORD1140,4313.0,103.51,18.63,4190.86,2026-08-25 00:22:00,captured
PAY1141,ORD1141,3597.69,71.95,12.95,3512.79,2026-08-24 22:26:00,captured
PAY1142,ORD1142,9559.59,191.19,34.41,9333.99,2026-08-24 22:06:00,captured
PAY1143,ORD1143,6757.19,135.14,24.33,6597.72,2026-08-25 02:29:00,captured
PAY1144,ORD1144,21704.84,434.1,78.14,21192.6,2026-08-25 04:47:00,captured
PAY1145,ORD1145,23683.06,473.66,85.26,23124.14,2026-08-25 01:33:00,captured
PAY1146,ORD1146,12302.63,246.05,44.29,12012.29,2026-08-25 01:56:00,captured
PAY1147,ORD1147,12829.05,256.58,46.18,12526.29,2026-08-25 04:59:00,captured
PAY1148,ORD1148,8058.72,161.17,29.01,7868.54,2026-08-25 02:03:00,captured
PAY1149,ORD1149,20310.37,406.21,73.12,19831.04,2026-08-25 06:12:00,captured
PAY1150,ORD1150,13429.75,268.6,48.35,13112.8,2026-08-25 03:03:00,captured
PAY1151,ORD1151,3849.69,76.99,13.86,3758.84,2026-08-24 20:43:00,captured
PAY1152,ORD1152,8202.97,164.06,29.53,8009.38,2026-08-24 21:05:00,refunded
PAY1153,ORD1153,7412.51,148.25,26.68,7237.58,2026-08-24 22:31:00,refunded
PAY1154,ORD1154,6297.7,125.95,22.67,6149.08,2026-08-25 01:19:00,captured
PAY1155,ORD1155,10170.12,203.4,36.61,9930.11,2026-08-25 02:03:00,captured
PAY1156,ORD1156,2166.51,43.33,7.8,2115.38,2026-08-25 00:16:00,captured
PAY1157,ORD1157,23841.07,476.82,85.83,23278.42,2026-08-25 05:05:00,captured
PAY1158,ORD1158,6865.61,137.31,24.72,6703.58,2026-08-24 19:41:00,captured
PAY1159,ORD1159,12313.91,246.28,44.33,12023.3,2026-08-24 20:38:00,captured
PAY1160,ORD1160,16163.07,371.75,66.91,15724.41,2026-08-25 00:12:00,captured
PAY1161,ORD1161,15309.75,306.19,55.11,14948.45,2026-08-24 21:22:00,captured
PAY1162,ORD1162,9329.74,186.59,33.59,9109.56,2026-08-25 04:45:00,captured
PAY1163,ORD1163,15119.72,302.39,54.43,14762.9,2026-08-24 20:39:00,captured
PAY1164,ORD1164,14132.18,282.64,50.88,13798.66,2026-08-24 22:08:00,captured
PAY1165,ORD1165,20313.23,406.26,73.13,19833.84,2026-08-25 05:41:00,captured
PAY1166,ORD1166,12138.51,364.16,65.55,11708.8,2026-08-24 19:24:00,captured
PAY1167,ORD1167,6800.93,136.02,24.48,6640.43,2026-08-25 20:34:00,captured
PAY1168,ORD1168,3216.32,64.33,11.58,3140.41,2026-08-26 01:54:00,captured
PAY1169,ORD1169,15853.48,317.07,57.07,15479.34,2026-08-26 05:59:00,captured
PAY1170,ORD1170,24223.16,726.69,130.8,23365.67,2026-08-25 21:48:00,captured
PAY1171,ORD1171,19929.43,697.53,125.56,19106.34,2026-08-26 04:53:00,captured
PAY1172,ORD1172,11072.07,221.44,39.86,10810.77,2026-08-26 01:54:00,captured
PAY1173,ORD1173,20911.48,418.23,75.28,20417.97,2026-08-26 00:56:00,captured
PAY1174,ORD1174,12966.84,259.34,46.68,12660.82,2026-08-26 02:17:00,captured
PAY1175,ORD1175,18870.01,377.4,67.93,18424.68,2026-08-26 00:03:00,captured
PAY1176,ORD1176,16158.81,323.18,58.17,15777.46,2026-08-26 02:15:00,refunded
PAY1177,ORD1177,18276.63,548.3,98.69,17629.64,2026-08-26 00:19:00,captured
PAY1178,ORD1178,23831.41,548.12,98.66,23184.63,2026-08-26 03:02:00,captured
PAY1179,ORD1179,11260.13,225.2,40.54,10994.39,2026-08-25 22:48:00,captured
PAY1180,ORD1180,13101.32,262.03,47.17,12792.12,2026-08-26 06:32:00,captured
PAY1181,ORD1181,4140.23,82.8,14.9,4042.53,2026-08-26 02:53:00,captured
PAY1182,ORD1182,13615.24,272.3,49.01,13293.93,2026-08-26 06:17:00,refunded
PAY1183,ORD1183,14445.74,505.6,91.01,13849.13,2026-08-26 00:32:00,captured
PAY1184,ORD1184,7684.4,153.69,27.66,7503.05,2026-08-26 06:37:00,refunded
PAY1185,ORD1185,5776.67,115.53,20.8,5640.34,2026-08-26 02:19:00,refunded
PAY1186,ORD1186,8340.43,166.81,30.03,8143.59,2026-08-25 20:48:00,captured
PAY1187,ORD1187,6344.23,126.88,22.84,6194.51,2026-08-26 06:13:00,captured
PAY1188,ORD1188,15927.79,366.34,65.94,15495.51,2026-08-26 06:39:00,captured
PAY1189,ORD1189,9867.77,197.36,35.52,9634.89,2026-08-25 22:20:00,captured
PAY1190,ORD1190,7137.44,142.75,25.7,6968.99,2026-08-26 06:36:00,captured
PAY1191,ORD1191,17049.52,340.99,61.38,16647.15,2026-08-26 03:20:00,captured
PAY1192,ORD1192,3154.34,63.09,11.36,3079.89,2026-08-26 05:57:00,captured
PAY1193,ORD1193,11053.0,221.06,39.79,10792.15,2026-08-26 04:20:00,captured
PAY1194,ORD1194,18880.21,377.6,67.97,18434.64,2026-08-25 21:05:00,refunded
PAY1195,ORD1195,11216.27,224.33,40.38,10951.56,2026-08-26 02:10:00,captured
PAY1196,ORD1196,5489.72,109.79,19.76,5360.17,2026-08-26 05:46:00,captured
PAY1197,ORD1197,3783.5,75.67,13.62,3694.21,2026-08-25 23:07:00,captured
PAY1198,ORD1198,7577.96,265.23,47.74,7264.99,2026-08-26 04:40:00,captured
PAY1199,ORD1199,7244.42,144.89,26.08,7073.45,2026-08-26 03:00:00,captured
PAY1200,ORD1200,16473.11,378.88,68.2,16026.03,2026-08-27 01:21:00,captured
